"phase","table","row_count","size_mb","landed"
"3","usvprogramcustprodexclusiontableentity","0","0","False"
"3","taxgstreliefgroupheading_my","0","0.00","True"
"3","vduplicateprograms","0","0","False"
"3","paymenttermentity","0","0","False"
"3","usvprogramtableentity","0","0","False"
"4","generaljournalaccountentry","475022861","431676.92","True"
"4","generaljournalentry","153010212","109012.57","True"
"4","salesline","75651260","187890.47","True"
"4","salestable","59872716","110389.58","True"
"4","usvsalescommissionresptable","48530978","28231.41","True"
"4","subledgerjournalaccountentrydistribution","42583392","19821.84","True"
"4","ledgertransvoucherlink","37065117","16616.34","True"
"4","whssalesline","34782528","20411.25","True"
"4","usvcuststatement","31938815","19514.40","True"
"4","tmssalestable","29892286","16570.37","True"
"4","ledgerjournaltable","27696168","24628.89","True"
"4","usvcustinvoicejourstatement","19966754","12568.24","True"
"4","ledgerentryjournal","14876537","5881.91","True"
"4","spectrans","2827763","2099.05","True"
"4","salesjournalautosummary","790800","398.54","True"
"4","usvsalestrackingnumbers","662902","498.43","True"
"4","casedetailbase","46418","28.03","True"
"4","casedetail","23209","10.97","True"
"4","dimensionfinancialtag","9450","4.36","True"
"4","usvcustavailcredit","8674","7.43","True"
"4","ledgerfiscalcalendarperiod","5376","1.70","True"
"4","exchangerate","2647","1.21","True"
"4","mainaccount","798","0.70","True"
"4","ledgerjournalname","509","0.52","True"
"4","bankaccounttable","326","0.32","True"
"4","salesagreementheader","289","0.26","True"
"4","fiscalcalendarperiod","224","0.26","True"
"4","usvgeneralledgerhierarchy","130","0.20","True"
"4","mainaccountcategory","107","0.20","True"
"4","bankgroup","52","0.20","True"
"4","ledger","37","0.20","True"
"4","casecategoryhierarchydetail","18","0.07","True"
"4","fiscalcalendaryear","16","0.07","True"
"4","usvfndcategory","12","0.07","True"
"4","exchangeratecurrencypair","10","0.07","True"
"4","exchangeratetype","6","0.07","True"
"4","financialdimensionvalueentityfinancialtagview","0","0","False"
"4","v_dirpartytable","0","0","False"
"4","esker_usvopenar","0","0","False"
"4","usvopenar","0","0","False"
"4","usvpnccusttransdataentity","0","0","False"
